1179991,10739.01
446762,2210.18
541603,5670.39
652598,4586.91
625540,1255.5
317806,12305.75
712126,5486.54
945738,38163.14
489950,5717.58
470367,3792.21
283066,27282.15
1139916,6536.27
396931,4408.73
2422037,2172.56
436018,2546.01
1285110,8013.59
675711,3477.06
641973,6871.15
1180176,6564.23
1279113,5787.89
607167,5164.67
428503,8610.42
1099824,1827.71
7288385,2645.23
506051,7657.6
560628,13763.89
1176495,16233.62
443732,5027.81
491911,9864.57
810456,3617.24
951046,4456.23
1335537,2540.37
703320,5360.47
454274,6733.73
658383,2819.54
1047321,6366.66
1218841,8328.87
354958,4404.9
831926,13243.49
1856283,1863.48
1938332,3176.43
401059,5196.76
