184628,171052,162686,149631,156893,171701,183400
74919,64895,55531,59048,61437,64984,65948
85891,77067,71206,71815,69841,78615,87168
94322,96586,92856,86323,86970,89969,105572
96033,81107,81987,84611,89754,93723,98325
54034,49464,49485,47024,40498,38372,38929
120767,105837,100615,97372,95936,95401,96198
151279,138061,133131,128530,122546,127428,144763
82178,73146,66689,61413,61746,68709,76069
78902,62358,61880,62211,60359,64510,80147
46831,43427,40761,36916,35951,38354,40826
162896,157813,154654,150798,161052,170748,181955
64886,55876,55193,54486,54085,54238,58167
355748,309315,317385,321370,344210,362115,411894
73800,56552,54885,64104,62045,62435,62197
210516,183141,167324,157412,176316,185162,205239
113749,92827,77189,81653,89027,102827,118439
105374,87788,85461,86995,84484,91906,99965
170061,155939,155535,159979,158285,171787,208590
205134,182923,177983,170211,170481,179220,193161
101080,86519,84612,81154,73153,83825,96824
77068,67740,59602,56048,53050,55254,59741
158033,152139,151406,153418,153921,159851,171056
1223176,1132378,1000387,948250,948265,994529,1041400
85192,71005,67184,68834,68684,70256,74896
88922,80374,73752,76313,76232,83964,81071
171670,158213,149263,151334,155792,180630,209593
70774,67319,63430,59965,59244,58911,64089
78764,72700,69106,68177,67859,67365,67940
137678,110464,102203,109859,109685,112413,128154
158278,133816,122482,132238,127296,133459,143477
206448,186101,177790,179163,183775,192444,209816
93201,94355,92932,91616,100204,113260,117752
81554,69237,63275,58388,60308,58048,63464
114137,97327,87539,85387,91457,86440,96096
182154,156801,139207,139253,138262,140543,151101
205077,170446,163154,157887,163843,172866,185568
55613,50883,47604,44712,46193,52099,57854
134601,119443,108001,107470,112326,120770,129315
320446,254998,248570,244959,242553,259860,284897
298463,261076,253927,235219,265960,303681,320006
61517,58982,55245,52146,54971,57216,60982
