13781,13998,15259,16688,15930,16013,16987,16287,15063,15740,15630,13252,13857,13454,15289,13874,15532,14559,15179,15148,14467,14445,13116,12132,12261,11572,13150,13381,13847,14388,16301,15371,13671,13879,12549,12316,12002,11313,12915,12386,13069,13487,14383,12512,12434,12007,11495,11628,11237,10704,12147,12856,14012,14671,14865,13654,12629,14044,13224,12850,12732,12495,13627,13872,15068,15529,15853,15355,14711,14974,13735,13750,13688,13431,15648,15792,16152,16597,17126,15742,14274,16221,15147,13582
5862,5864,6503,6881,6639,6600,6694,6392,5996,6382,5809,5297,5318,5136,5916,5231,6036,5559,5978,6081,5303,5172,4678,4487,5062,4437,4686,4583,4313,4580,5376,5075,4299,4548,4460,4112,4162,4534,5045,4976,5192,5231,5479,4801,4965,5344,4765,4554,4474,4504,5206,5308,5578,5473,5795,5348,4753,5015,4746,5237,5173,4939,5304,5110,5472,5423,6122,5934,5627,5562,5258,5060,5089,4884,5625,5788,5888,5939,5880,5542,5388,5691,5299,4935
6682,6481,7213,7902,7579,7452,7941,7630,6942,7362,6525,6182,6204,5918,6896,6080,6722,6550,6910,7050,6376,6656,6187,5518,5978,5234,5439,5643,5953,6257,6726,6828,5959,6059,5657,5473,5434,5282,6066,6118,6198,6285,6801,6321,6185,6302,5726,5097,5001,5020,5830,5793,6075,6147,6659,6220,5633,5984,5831,5648,5721,5386,5853,6087,6713,6830,7573,7036,6876,7119,6734,6687,6425,6445,7574,7333,7667,8098,8053,7161,7126,7634,7252,6400
4837,4725,8802,8889,8163,8260,8894,8549,8312,8908,8454,7529,7510,7251,8719,7597,8336,7861,8613,8725,8025,8610,7912,7427,7572,6828,7454,8003,8175,8278,9120,8578,7427,7513,7222,6686,6608,6332,7357,7323,7374,7701,8124,7356,7438,7350,6931,6429,6153,6245,7034,7157,7415,7331,8140,8051,7349,8048,7100,6947,6539,6600,6878,6867,7994,7780,8248,8627,7809,8325,7143,7159,6795,7063,8811,8816,8959,8680,9151,9794,8762,10263,9630,8848
7256,7351,8587,8335,8299,8208,8639,8539,8165,8491,7444,6719,6557,6551,7548,6579,6956,6496,6890,7220,6592,7379,6454,5885,6722,5932,6461,6780,6893,7151,8044,7499,6861,7251,6457,5936,5775,5827,7336,7038,7351,7277,7515,7121,7473,7889,7479,6530,6552,6450,7463,7662,7251,7738,7929,8223,7682,8615,7310,6879,6960,7016,7962,7562,7763,7621,8500,8046,8249,8968,7488,7588,7126,6950,8311,8254,8802,8274,8579,8678,8316,9381,8040,7614
4116,4313,4592,4954,4474,4554,5055,4817,4326,4809,4271,3753,3736,3763,4350,4207,4370,4072,4390,4560,4027,4175,3806,4008,3791,3923,3923,3924,4188,4451,5167,4756,4063,3920,3636,3743,3500,3269,3571,3753,4038,4272,4326,4124,4379,3858,3577,4357,2997,3230,3634,3735,3707,3659,3626,3753,3367,3281,2699,2810,2908,3160,3326,3095,3458,3220,3336,3401,3119,3453,2798,3098,2887,2864,3169,3358,3502,3304,3439,3286,3241,3593,3166,3120
9424,9239,10347,10976,10187,10444,11358,10937,10040,10330,9184,8301,8635,8684,10280,8465,9447,8922,9371,9219,8801,8617,7940,7456,8502,7336,7903,8158,8596,9005,9771,9201,8346,8487,7768,7542,7224,7014,8159,8300,8485,8770,9162,8374,8530,8322,7846,7186,7267,6696,8100,8440,8213,8408,8918,8655,8031,8443,7456,7309,7366,7218,7905,7658,8398,8024,8785,8760,8546,8181,7519,7041,7173,7187,8368,8032,8558,8453,8813,8352,7783,8503,7703,7273
10220,10170,11249,13926,13300,12823,15118,14912,12753,13352,12175,11281,11309,10746,12634,11242,12396,11338,12051,12755,11669,11517,10485,9919,9983,9689,10246,10214,11512,11972,13708,13513,11254,10740,10447,9853,9791,8979,11005,10660,11424,11537,12084,11351,11185,10672,10119,9723,9168,8924,10202,10492,11284,10667,11445,11224,9939,10279,9519,9403,8938,8770,10285,10031,11321,11440,12118,12190,11274,10791,9980,10290,9753,10084,11660,11779,12841,12965,13896,14013,12567,12791,11628,10786
3187,6647,7273,7495,7684,7455,8335,7894,6691,6793,6708,6016,5770,5504,6362,5880,6706,6047,6671,7125,6288,5902,5797,5094,5153,5199,5493,5383,5831,6015,6642,6505,5566,5354,4896,4652,4650,4503,5239,5073,5375,5311,6079,5440,5335,5072,4797,4539,4641,4363,5175,5030,4714,5417,5773,5616,5171,5206,5417,5223,4956,4811,5731,5654,5751,6013,6562,6415,6137,5891,5272,5516,5361,5199,6172,6195,6695,7005,7376,7417,6577,6568,6018,5486
6358,6377,7378,7129,6664,6777,7159,6698,6280,6659,6124,5299,5306,5230,5749,4797,5147,4983,5520,5664,5154,5343,5001,4464,5297,4368,4696,5034,4998,5368,5884,5914,5197,5467,5138,4519,4746,4773,5212,5316,5455,5586,5737,5226,5273,5511,4991,4385,4555,4315,5039,4982,5222,5053,5407,5260,4906,5696,5010,4914,4889,4924,5426,5324,5441,4678,5772,5683,5738,5950,5256,5429,5812,5652,6677,6985,6942,7004,7338,7166,6401,7108,6680,6382
